كود المحافظة,كود المدينة,المدينة,كود المنطقة,المنطقة,كود الحي,الحي,كود المجاورة,المجاورة, رقم القطعة , مساحة القطعة , نسبة التميز , عدد القطع المتاحة ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1ب طريقالواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى," 1,498 ", 500 , 1.140 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 504 , 500 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 521 , 500 , 1.110 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 522 , 529 , 1.140 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 580 , 500 , 1.130 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 581 , 534 , 1.110 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 589 , 500 , 1.130 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 590 , 500 , 1.130 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 591 , 534 , 1.140 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 592 , 534 , 1.140 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 599 , 525 , 1.110 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 601 , 525 , 1.150 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 608 , 478 , 1.180 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 609 , 500 , 1.130 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 622 , 492 , 1.180 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 630 , 450 , 1.190 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 631 , 450 , 1.180 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 636 , 450 , 1.180 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 643 , 500 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 645 , 669 , 1.180 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 648 , 538 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 650 , 533 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 651 , 530 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 655 , 500 , 1.090 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 661 , 500 , 1.130 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 664 , 500 , 1.130 , 1 ,,,,,,,,,,,,,
21,23,6 أكتوبر الجديدة ,1,جنوب طريق الواحات - شمال مطار أكتوبر,1,شمال مطار أكتوبر - جنوب طريق الواحات ,1,المجاورة الأولى, 666 , 545 , 1.130 , 1 ,,,,,,,,,,,,,
