#,name,type,upload/Download,source,dest
1,13-achout upload,Publish/Update,Download,sftp://172.17.75.13:22/shared/t24/t24perf/ACHOUT,file:/E:/ACH/ACHOUT/AutoUploaded/
2,13_CHEQUE BOOK ISSUE,Publish/Update,Download,sftp://t24app2.hdbank.local:22/t24/t24perf/T24/UD/CHQ.PRINT,file:/E:/CLEARING/CHQ.PRINT/
3,13_CUSTOMER REVIEW,Two Way Sync,Download,sftp://t24app2.hdbank.local:22/t24/t24perf/T24/UD/CUSTOMER.REVIEW,file:/E:/CUSTOMER%20REVIEW/
4,13_INWARD CHEQUES,Publish/Update,Upload,file:/E:/CLEARING/INCLR.FILE/,sftp://t24app2.hdbank.local:22/t24/t24perf/T24/UD/INCLR.FILE
5,13_INWARD_REJECTED_CHEQUES,Publish/Update,Upload,file:/E:/CLEARING/INCCLR.REJ/,sftp://t24app2.hdbank.local:22/t24/t24perf/T24/UD/INCCLR.REJ
6,13_ISCORE MONTHLY,Publish/Update,Download,sftp://t24app2.hdbank.local:22/t24/t24perf/T24/UD/ISCR.OUT,file:/E:/ISCORE/ISCR.OUT/
7,13_LG-LETTERS,Publish/Update,Download,sftp://t24app2.hdbank.local:22/t24/t24perf/T24/UD/HDB.LG.PRINT.OUT,file:/E:/LG-LETTERS/
8,13_OUTWARD CLEARING,Publish/Update,Download,sftp://t24app2.hdbank.local:22/t24/t24perf/T24/UD/INCLR.FILE,file:/E:/CLEARING/INCLR.FILE/
9,13_REJECTED_CHEQUES,Publish/Update,Download,sftp://t24app2.hdbank.local:22/t24/t24perf/T24/UD/INCCLR.REJ,file:/E:/CLEARING/INCCLR.REJ/
10,13_STOP GOV,Publish/Update,Upload,file:/E:/CLEARING/GOV.CHQ/,sftp://t24app2.hdbank.local:22/t24/t24perf/T24/UD/GOV.CHQ
11,7_CBE,Publish/Update,Download,sftp://t24app1.hdbank.local:22/shared/t24/t24perf/CBE,file:/E:/CBE/
12,7_CHEQUE BOOK ISSUE,Publish/Update,Download,sftp://t24app1.hdbank.local:22/t24/t24perf/T24/UD/CHQ.PRINT,file:/E:/CLEARING/CHQ.PRINT/
13,7_CUSTOMER REVIEW FREQ,Two Way Sync,Download,sftp://t24app1.hdbank.local:22/t24/t24perf/T24/UD/CUSTOMER.REVIEW,file:/E:/CUSTOMER%20REVIEW/
14,7_INWARD ACH,Publish/Update,Upload,file:/E:/ACH/ACHIN/,sftp://t24app1.hdbank.local:22/shared/t24/t24perf/ACHIN
15,7_INWARD CHEQUES,Publish/Update,Upload,file:/E:/CLEARING/INCLR.FILE/,sftp://t24app1.hdbank.local:22/t24/t24perf/T24/UD/INCLR.FILE
16,7_INWARD SWIFT,Two Way Sync,Upload,file:/E:/ALLIANCE/F.ALLIANCE.MSG/,sftp://t24app1.hdbank.local:22/shared/t24/t24perf/bnk.interface/ALLIANCE/F.ALLIANCE.MSG
17,7_INWARD_REJECTED_CHEQUES,Publish/Update,Upload,file:/E:/CLEARING/INCCLR.REJ/,sftp://t24app1.hdbank.local:22/t24/t24perf/T24/UD/INCCLR.REJ
